claim_id,claim_role,safe_claim_short,manuscript_assets,primary_source_artifacts,validation_artifacts,analysis_scripts_or_commands,seed_or_replicate_status,statistical_status,reproducibility_requirement,claim_boundary,fresh_rerun_priority
C1,main mechanism claim,"Within this symbolic route-memory benchmark and tested CIRM-family ablations, structural route storage is required for reliable route-table formation and route execution.","Figure 2; compact Table 3","experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_variant_metrics.csv; experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_summary.csv","experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/validation_report.md; experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/validation_results.json; docs/repo_audit/EXP13_2_ANALYSIS_IMPORT_REPORT.md; docs/repo_audit/EXP15_ANALYSIS_IMPORT_REPORT.md","experiments/experiment13_1_publication_hardening/start_exp13_1_full.ps1; experiments/experiment13_1_publication_hardening/start_exp13_1_validate.ps1; experiments/experiment13_2_baseline_suite; experiments/experiment15_neural_baseline_comparator/start_exp15_full.ps1",seed-level grouping still needs final comparison-family review,partial,"fresh-checkout validation; regenerate Figure 2 and compact Table 3 source-data; rerun only if validation or seed grouping fails","benchmark/model-family-specific; do not universalize to all neural route-memory systems",high
C2,main context/indexing claim,"Context/world indexing is required for incompatible local transitions and first-step/full-route disambiguation in this benchmark.","Figures 2 and 5; Table 4","experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_seed_metrics.csv; docs/manuscript/source_data/table_04_exp15_neural_comparator.csv","docs/repo_audit/EXP13_2_ANALYSIS_IMPORT_REPORT.md; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/validation_report.md; docs/repo_audit/EXP14_ANALYSIS_IMPORT_REPORT.md; docs/repo_audit/EXP15_ANALYSIS_IMPORT_REPORT.md","experiments/experiment14_latent_context_inference/start_exp14_full.ps1; experiments/experiment15_neural_baseline_comparator/start_exp15_full.ps1",seed-level grouping pending for C2-wide claim,partial,"fresh-checkout validation; verify first-step conflict/full-route metrics and Table 4 source-data","context necessity is conflict-specific; no-context suffix success prevents blanket context-required wording",high
C3,main recurrence/execution claim,"Recurrent execution is required to compose stored one-step route memories into multi-step routes in the tested route-memory contracts.","Figure 2; compact Table 3","experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_variant_metrics.csv; experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv","experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/validation_report.md; docs/repo_audit/EXP13_2_ANALYSIS_IMPORT_REPORT.md","experiments/experiment13_1_publication_hardening/start_exp13_1_full.ps1; experiments/experiment13_1_publication_hardening/start_exp13_1_validate.ps1",seed-level comparison grouping pending,partial,"fresh-checkout validation; regenerate Figure 2 and compact Table 3 source-data","recurrence itself is not novel; claim is storage/execution dissociation inside the benchmark",high
C4,main decomposition claim,"Route-table storage, endpoint memorization, and multi-step compositional execution are separable in this benchmark.","Figure 2; Table 4","experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_summary.csv; docs/manuscript/source_data/table_04_exp15_neural_comparator.csv","docs/repo_audit/EXP13_2_ANALYSIS_IMPORT_REPORT.md; docs/repo_audit/EXP14_ANALYSIS_IMPORT_REPORT.md; docs/repo_audit/EXP15_ANALYSIS_IMPORT_REPORT.md","experiments/experiment14_latent_context_inference/start_exp14_full.ps1; experiments/experiment15_neural_baseline_comparator/start_exp15_full.ps1",Exp15 has source-data-backed Table 4; C4-wide effect-size grouping pending,partial,"validate artifact schemas and regenerate Table 4; rerun Exp15 only if Table 4 or seed-metric checks fail","decomposition claim only; not an architecture ranking",high
C5,main clean-capacity claim,"Under clean supplied context, the full model maintains ceiling route-table and composition accuracy through tested world counts.","Figure 3; compact Table 3","experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv; experiments/experiment12_capacity_generalization/analysis/exp12/metrics.csv","experiments/experiment12_capacity_generalization/analysis/exp12/exp12_report.md; experiments/experiment12_capacity_generalization/analysis/exp12_validation/exp12_report.md","experiments/experiment12_capacity_generalization/start_exp12.ps1 -Profile full -OutDir analysis/exp12; experiments/experiment12_capacity_generalization/start_exp12.ps1 -Profile validate -OutDir analysis/exp12_validation",aggregate summaries available; seed/CI review pending if inferential wording is added,partial,"fresh-checkout validation; regenerate Figure 3 source-data; no broad rerun unless ceiling claim fails validation","ceiling-limited through tested world counts only; no capacity law",medium
C6,main finite-budget boundary claim,"Finite structural budget produces an observed route-execution degradation curve.","Figure 4; compact Table 3","experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv; experiments/experiment13_breaking_point/analysis/metrics.csv","experiments/experiment13_breaking_point/analysis/exp13_report.md; experiments/experiment13_breaking_point/analysis/validation_report.md; experiments/experiment13_breaking_point/analysis/validation_results.json","experiments/experiment13_breaking_point/start_exp13.ps1 -Profile standard -Clean; experiments/experiment13_breaking_point/start_exp13.ps1 -Profile smoke -Clean",aggregate summaries available; seed/effect-size grouping pending,partial,"fresh-checkout validation; regenerate Figure 4 source-data; keep Figure 4 supplement-default unless emphasized","observed degradation only; no fitted capacity law",medium
C13,main-narrow symbolic context-selection claim,"The active symbolic world/context can be selected from partial transition-cue evidence before route execution.","Figure 5; compact Table 3","experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_summary.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_effect_sizes.csv; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/exp14_metrics.csv; docs/manuscript/source_data/figure_05_symbolic_context_selection.csv","experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/validation_report.md; experiments/experiment14_latent_context_inference/analysis/exp14_full_20260507_210712/validation_results.json; docs/repo_audit/EXP14_ANALYSIS_IMPORT_REPORT.md","experiments/experiment14_latent_context_inference/start_exp14_full.ps1; experiments/experiment14_latent_context_inference/start_exp14_validation.ps1",Exp14 effect-size artifact exists; manuscript comparison grouping pending,partial,"fresh-checkout validation; regenerate Figure 5 source-data; verify oracle upper-bound caveat","symbolic transition-cue selection only; not raw sensory latent-world discovery",high
C12,discussion/table baseline claim,"Symbolic/algorithmic baselines and a minimal fixed-profile neural comparator are present, but baseline coverage is not exhaustive.","Table 4; baseline discussion","experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_summary.csv; experiments/experiment13_2_baseline_suite/analysis/exp13_2_full_20260507_165813/exp13_2_effect_sizes.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_effect_sizes.csv; docs/manuscript/source_data/table_04_exp15_neural_comparator.csv","docs/repo_audit/EXP13_2_ANALYSIS_IMPORT_REPORT.md; docs/repo_audit/EXP15_ANALYSIS_IMPORT_REPORT.md; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/validation_report.md","experiments/experiment15_neural_baseline_comparator/start_exp15_full.ps1; experiments/experiment15_neural_baseline_comparator/start_exp15_validation.ps1",source-data-backed Table 4 exists; optional broader neural comparator is venue-dependent,partial,"validate Table 4 and Exp15 required variants; do not add broader baseline unless venue/reviewer strategy requires it","Exp15 is fixed-profile and non-exhaustive; replay collapse remains non-claim pending audit",high
C7,boundary/supplement,"Local-versus-global pressure may be worse under local budget limits, but this is not a standalone main claim yet.","Figure 4 boundary/supplement","docs/source_data/exp13_local_vs_global_budget_comparison.csv; experiments/experiment13_breaking_point/analysis/local_capacity_pressure_summary.csv; experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv","experiments/experiment13_breaking_point/analysis/validation_report.md","experiments/experiment13_breaking_point/start_exp13.ps1 -Profile standard -Clean",paired seed-level local/global grouping pending,not_final,"do not promote without paired seed-level analysis","boundary/supplement only",low
Exp15-replay,non-claim,"Replay collapse is observed but not scientifically interpreted pending audit.","Table 4 caveat only","experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_summary.csv; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/exp15_seed_metrics.csv","docs/repo_audit/EXP15_ANALYSIS_IMPORT_REPORT.md; experiments/experiment15_neural_baseline_comparator/analysis/exp15_full_20260508_092811/validation_report.md","experiments/experiment15_neural_baseline_comparator/start_exp15_full.ps1",not claim-bearing,non_claim,"audit implementation/training/buffer before interpreting","do not use as evidence",low
